Clave;Nombre;Asterisco
A394;Meningococemia, no especificada;F
A395;Enfermedad cardíaca debida a meningococo;F
A398;Otras formas de enfermedad meningocócica;F
A399;Enfermedad meningocócica, no especificada;F
A400;Sepsis debida a estreptococo, grupo A;F
A401;Sepsis debida a estreptococo, grupo B;F
A402;Sepsis debida a estreptococo, grupo D;F
A403;Sepsis debida a Streptococcus pneumoniae;F
A408;Otras Sepsis estreptocócicas;F
A409;Sepsis estreptocócica, no especificada;F
A410;Sepsis debida a Staphylococcus aureus;F
A411;Sepsis debida a otro estafilococo especificado;F
A412;Sepsis debida a estafilococo no especificado;F
A413;Sepsis debida a Haemophilus influenzae;F
A414;Sepsis debida a anaerobios;F
A415;Sepsis debida a otros organismos gramnegativos;F
A418;Otras Sepsis especificadas;F
A419;Sepsis, no especificada;F
A420;Actinomicosis pulmonar;F
A421;Actinomicosis abdominal;F
A422;Actinomicosis cervicofacial;F
A427;Sepsis actinomicótica;F
A428;Otras formas de actinomicosis;F
A429;Actinomicosis, sin otra especificación;F
A430;Nocardiosis pulmonar;F
A431;Nocardiosis cutánea;F
A438;Otras formas de nocardiosis;F
A439;Nocardiosis, no especificada;F
A440;Bartonelosis sistémica;F
A441;Bartonelosis cutánea y mucocutánea;F
A448;Otras formas de bartonelosis;F
A449;Bartonelosis, no especificada;F
A46X;Erisipela;F
A480;Gangrena gaseosa;F
A481;Enfermedad de los legionarios;F
A482;Enfermedad de los legionarios no neumónica (fiebre de Pontiac);F
A483;Síndrome del choque tóxico;F
A484;Fiebre purpúrica brasileña;F
A488;Otras enfermedades bacterianas especificadas;F
A490;Infección estafilocócica, sin otra especificación;F
A491;Infección estreptocócica, sin otra especificación;F
A492;Infección por Haemophilus influenzae, sin otra especificación;F
A493;Infección por micoplasma, sin otra especificación;F
A498;Otras infecciones bacterianas de sitio no especificado;F
A499;Infección bacteriana, no especificada;F
A500;Sífilis congénita precoz, sintomática;F
A501;Sífilis congénita precoz, latente;F
A502;Sífilis congénita precoz, sin otra especificación;F
A503;Oculopatía sifilítica congénita tardía;F
A504;Neurosífilis congénita tardía [neurosífilis juvenil];F
A505;Otras formas de sífilis congénita tardía, sintomática;F
A506;Sífilis congénita tardía, latente;F
A507;Sífilis congénita tardía, sin otra especificación;F
A509;Sífilis congénita, sin otra especificación;F
A510;Sífilis genital primaria;F
A511;Sífilis primaria anal;F
A512;Sífilis primaria en otros sitios;F
A513;Sífilis secundaria de piel y membranas mucosas;F
A514;Otras sífilis secundarias;F
A515;Sífilis precoz, latente;F
A519;Sífilis precoz, sin otra especificación;F
A520;Sífilis cardiovascular;F
A521;Neurosífilis sintomática;F
A522;Neurosífilis asintomática;F
A523;Neurosífilis no especificada;F
A527;Otras sífilis tardías sintomáticas;F
A528;Sífilis tardía, latente;F
A529;Sífilis tardía, no especificada;F
A530;Sífilis latente, no especificada como precoz o tardía;F
A539;Sífilis, no especificada;F
A540;Infección gonocócica del tracto genitourinario inferior sin absceso periuretral y de glándula accesoria;F
A541;Infección gonocócica del tracto genitourinario inferior con absceso periuretral y de glándulas accesorias;F
A542;Pelviperitonitis gonocócica y otras infecciones gonocócicas genitourinarias;F
A543;Infección gonocócica del ojo;F
A544;Infección gonocócica del sistema osteomuscular;F
A545;Faringitis gonocócica;F
A546;Infección gonocócica del ano y del recto;F
A548;Otras infecciones gonocócicas;F
A549;Infección gonocócica, no especificada;F
A55X;Linfogranuloma (venéreo) por clamidias;F
A560;Infección del tracto genitourinario inferior debida a clamidias;F
A561;Infección del pelviperitoneo y otros órganos genitourinarios debida a clamidias;F
A562;Infecciones del tracto genitourinario debidas a clamidias, sin otra especificación;F
A563;Infección del ano y del recto debida a clamidias;F
A564;Infección de faringe debida a clamidias;F
A568;Infección de transmisión sexual de otros sitios debida a clamidias;F
A57X;Chancro blando;F
A58X;Granuloma inguinal;F
A590;Tricomoniasis urogenital;F
A598;Tricomoniasis de otros sitos;F
A599;Tricomoniasis, no especificada;F
A600;Infección de genitales y trayecto urogenital debida a virus del herpes [herpes simple];F
A601;Infección de la piel perianal y recto por virus del herpes simple;F
A609;Infección anogenital por virus del herpes simple, sin otra especificación;F
A630;Verrugas (venéreas) anogenitales;F
A638;Otras enfermedades de transmisión predominantemente sexual, especificadas;F
A64X;Enfermedad de transmisión sexual no especificada;F
A65X;Sífilis no venérea;F
A660;Lesiones iniciales de frambesia;F
A661;Lesiones papilomatosas múltiples y frambesia con paso de cangrejo;F
A662;Otras lesiones precoces de la piel en la frambesia;F
A663;Hiperqueratosis de frambesia;F
A664;Goma y úlceras de frambesia;F
A665;Gangosa;F
A666;Lesiones frambésicas de los huesos y de las articulaciones;F
A667;Otras manifestaciones de frambesia;F
A668;Frambesia latente;F
A669;Frambesia, no especificada;F
A670;Lesiones primarias de la pinta;F
A671;Lesiones intermedias de la pinta;F
A672;Lesiones tardías de la pinta;F
A673;Lesiones mixtas de la pinta;F
A679;Pinta, no especificada;F
A680;Fiebre recurrente transmitida por piojos;F
A681;Fiebre recurrente transmitida por garrapatas;F
A689;Fiebre recurrente, no especificada;F
A690;Estomatitis ulcerativa necrotizante;F
A691;Otras infecciones de Vincent;F
A692;Enfermedad de Lyme;F
A698;Otras infecciones especificadas por espiroquetas;F
A699;Infección por espiroqueta, no especificada;F
A70X;Infeccion debida a Chlamydia psittaci;F
A710;Estado inicial de tracoma;F
A711;Estado activo de tracoma;F
A719;Tracoma, no especificado;F
A740;Conjuntivitis por clamidias;F
A748;Otras enfermedades por clamidias;F
A749;Infección por clamidias, no especificada;F
A750;Tifus epidémico debido a Rickettsia prowazekii transmitido por piojos;F
A751;Tifus recrudescente [enfermedad de Brill];F
A752;Tifus debido a Rickettsia typhi;F
A753;Tifus debido a Rickettsia tsutsugamushi;F
A759;Tifus, no especificado;F
A770;Fiebre maculosa debida a Rickettsia rickettsii;F
A771;Fiebre maculosa debida a Rickettsia conorii;F
A772;Fiebre maculosa debida a Rickettsia siberica;F
A773;Fiebre maculosa debida a Rickettsia australis;F
A778;Otras fiebres maculosas;F
A779;Fiebre maculosa, no especificada;F
A78X;Fiebre Q;F
A790;Fiebre de las trincheras;F
A791;Rickettsiosis pustulosa debida a Rickettsia akari;F
A798;Otras rickettsiosis especificadas;F
A799;Rickettsiosis, no especificada;F
A800;Poliomielitis aguda paralítica, asociada a vacuna;F
A801;Poliomielitis aguda paralítica debida a virus salvaje importado;F
A802;Poliomielitis aguda paralítica debida a virus salvaje autóctono;F
A803;Otras poliomielitis agudas paralíticas y las no especificadas;F
A804;Poliomielitis aguda no paralítica;F
A809;Poliomielitis aguda, sin otra especificación;F
A810;Enfermedad de Creutzfeldt-Jakob;F
A811;Panencefalitis esclerosante subaguda;F
A812;Leucoencefalopatía multifocal progresiva;F
A818;Otras infecciones del sistema nervioso central por virus atípico;F
A819;Infecciones del sistema nervioso central por virus atípico, sin otra especificación;F
A820;Rabia selvática;F
A821;Rabia urbana;F
A829;Rabia, sin otra especificación;F
A830;Encefalitis japonesa;F
A831;Encefalitis equina del oeste;F
A832;Encefalitis equina del este;F
A833;Encefalitis de San Luis;F
A834;Encefalitis australiana;F
A835;Encefalitis de California;F
A836;Enfermedad por virus Rocío;F
A838;Otras encefalitis virales transmitidas por mosquitos;F
A839;Encefalitis viral transmitida por mosquitos, sin otra especificación;F
A840;Encefalitis del Lejano Oriente transmitida por garrapatas [encefalitis primaveroestival rusa];F
A841;Encefalitis centroeuropea transmitida por garrapatas;F
A848;Otras encefalitis virales transmitida por garrapatas;F
A849;Encefalitis viral transmitida por garrapatas, sin otra especificación;F
A850;Encefalitis enteroviral;F
A851;Encefalitis por adenovirus;F
A852;Encefalitis viral transmitida por artrópodos, sin otra especifcación;F
A858;Otras encefalitis virales especifcadas;F
A86X;Encefalitis viral, no especificada;F
A870;Meningitis enteroviral;F
A871;Meningitis debida a adenovirus;F
A872;Coriomeningitis linfocítica;F
A878;Otras meningitis virales;F
A879;Meningitis viral, sin otra especificación;F
A880;Fiebre exantemática enteroviral [exantema de Boston];F
A881;Vértigo epidémico;F
A888;Otras infecciones virales especificadas del sistema nervioso central;F
A89X;Infección viral del sistema nervioso central, no especificada;F
A90X;Fiebre del dengue [dengue clásico];F
A91X;Fiebre del dengue hemorrágico;F
A920;Enfermedad por virus Chikungunya;F
A921;Fiebre de O'nyong-nyong;F
A922;Fiebre equina venezolana;F
A923;Infección por virus del oeste del Nilo;F
A924;Fiebre del valle del Rift;F
A928;Otras fiebres virales especificadas transmitidas por mosquitos;F
A929;Fiebre viral transmitida por mosquito, sin otra especificación;F
A930;Enfermedad por virus de  Oropouche;F
A931;Fiebre transmitida por flebótomos;F
A932;Fiebre de Colorado transmitida por garrapatas;F
A938;Otras fiebres virales especificadas transmitidas por artrópodos;F
A94X;Fiebre viral transmitida por artrópodos, no especificada;F
A950;Fiebre amarilla selvática;F
A951;Fiebre amarilla urbana;F
A959;Fiebre amarilla, no especificada;F
A960;Fiebre hemorrágica de Junín;F
A961;Fiebre hemorrágica de Machupo;F
A962;Fiebre de Lassa;F
A968;Otras fiebres hemorrágicas por arenavirus;F
A969;Fiebre hemorrágica por arenavirus, sin otra especificación;F
A980;Fiebre hemorrágica de Crimea-Congo;F
A981;Fiebre hemorrágica de Omsk;F
A982;Enfermedad de la selva Kyasanur;F
A983;Enfermedad por el virus de Marburg;F
A984;Enfermedad por el virus de Ebola;F
A985;Fiebres hemorrágicas con síndrome renal;F
A988;Otras fiebres hemorrágicas virales especificadas;F
A99X;Fiebre viral hemorrágica, no especificada;F
B000;Eczema herpético;F
B001;Dermatitis vesicular herpética;F
B002;Gingivoestomatitis y faringoamigdalitis herpética;F
B003;Meningitis herpética;F
B004;Encefalitis herpética;F
B005;Oculopatía herpética;F
B007;Enfermedad herpética diseminada;F
B008;Otras formas de infecciones herpéticas;F
B009;Infección debida al virus del herpes, no especificada;F
B010;Meningitis debida a varicela;F
B011;Encefalitis debida a varicela;F
B012;Neumonía debida a varicela;F
B018;Varicela con otras complicaciones;F
B019;Varicela sin complicaciones;F
B020;Encefalitis debida a herpes zoster;F
B021;Meningitis debida a herpes zoster;F
B022;Herpes zoster con otros compromisos del sistema nervioso;F
B023;Herpes zoster ocular;F
B027;Herpes zoster diseminado;F
B028;Herpes zoster con otras complicaciones;F
B029;Herpes zoster sin complicaciones;F
B03X;Viruela;F
B04X;Viruela de los monos;F
B050;Sarampión complicado con encefalitis;F
B051;Sarampión complicado con meningitis;F
B052;Sarampión complicado con neumonía;F
B053;Sarampión complicado con otitis media;F
B054;Sarampión con complicaciones intestinales;F
B058;Sarampión con otras complicaciones;F
B059;Sarampión sin complicaciones;F
B060;Rubéola con complicaciones neurológicas;F
B068;Rubéola con otras complicaciones;F
B069;Rubéola sin complicaciones;F
B07X;Verrugas víricas;F
B080;Otras infecciones debidas a ortopoxvirus;F
B081;Molusco contagioso;F
B082;Exantema súbito [sexta enfermedad];F
B083;Eritema infeccioso [quinta enfermedad];F
B084;Estomatitis vesicular enteroviral con exantema;F
B085;Faringitis vesicular enterovírica;F
B088;Otras infecciones virales especificadas, caracterizadas por lesiones de la piel y de las membranas mucosas;F
B09X;Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas;F
B150;Hepatitis aguda tipo A, con coma hepático;F
B159;Hepatitis aguda tipo A, sin coma hepático;F
B160;Hepatitis aguda tipo B, con agente delta (coinfección), con coma hepático;F
B161;Hepatitis aguda tipo B, con agente delta (coinfección), sin coma hepático;F
B162;Hepatitis aguda tipo B, sin agente delta, con coma hepático;F
B169;Hepatitis aguda tipo B, sin agente delta y sin coma hepático;F
B170;Infección (superinfección) aguda por agente delta en el portador de hepatitis B;F
B171;Hepatitis aguda tipo C;F
B172;Hepatitis aguda tipo E;F
B178;Otras hepatitis virales agudas especificadas;F
B179;Hepatitis viral aguda no especificada ;F
B180;Hepatitis viral tipo B crónica, con agente delta;F
B181;Hepatitis viral tipo B crónica, sin agente delta;F
B182;Hepatitis viral tipo C crónica;F
B188;Otras hepatitis virales crónicas;F
B189;Hepatitis viral crónica, sin otra especificación;F
B190;Hepatitis viral no especificada con coma hepático;F
B199;Hepatitis viral no especificada sin coma hepático;F
B200;Enfermedad por VIH, resultante en infección por micobacterias;F
B201;Enfermedad por VIH, resultante en otras infecciones bacterianas;F
B202;Enfermedad por VIH, resultante en enfermedad por citomegalovirus;F
B203;Enfermedad por VIH, resultante en otras infecciones virales;F
B204;Enfermedad por VIH, resultante en candidiasis;F
B205;Enfermedad por VIH, resultante en otras micosis;F
B206;Enfermedad por VIH, resultante en neumonía por Pneumocystis carinii;F
B207;Enfermedad por VIH, resultante en infecciones múltiples;F
B208;Enfermedad por VIH, resultante en otras enfermedades infecciosas o parasitarias;F
B209;Enfermedad por VIH, resultante en enfermedad infecciosa o parasitaria no especificada;F
B210;Enfermedad por VIH, resultante en sarcoma de Kaposi;F
B211;Enfermedad por VIH, resultante en linfoma de Burkitt;F
B212;Enfermedad por VIH, resultante en otros tipos de linfoma no Hodgkin;F
B213;Enfermedad por VIH, resultante en otros tumores malignos del tejido linfoide, hematopoyético y tejidos relacionados;F
B217;Enfermedad por VIH, resultante en tumores malignos múltiples;F
B218;Enfermedad por VIH, resultante en otros tumores malignos;F
B219;Enfermedad por VIH, resultante en tumores malignos no especificados;F
B220;Enfermedad por VIH, resultante en encefalopatía;F
B221;Enfermedad por VIH, resultante en neumonitis linfoide intersticial;F
B222;Enfermedad por VIH, resultante en síndrome caquéctico;F
B227;Enfermedad por VIH, resultante en enfermedades múltiples clasificadas en otra parte;F
B230;Síndrome de infección aguda debida a VIH;F
B231;Enfermedad por VIH, resultante en linfadenopatía generalizada (persistente);F
B232;Enfermedad por VIH, resultante en anormalidades inmunológicas y hematológicas, no clasificadas en otra parte;F
B238;Enfermedad por VIH, resultante en otras afecciones especificadas;F
B24X;Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación;F
B250;Neumonitis debida a virus citomegálico;F
B251;Hepatitis debida a virus citomegálico;F
B252;Pancreatitis debida a virus citomegálico;F
B258;Otras enfermedades debidas a virus citomegálico;F
B259;Enfermedad por virus citomegálico, no especificada;F
B260;Orquitis por parotiditis;F
B261;Meningitis por parotiditis;F
B262;Encefalitis por parotiditis;F
B263;Pancreatitis por parotiditis;F
B268;Parotiditis infecciosa con otras complicaciones;F
B269;Parotiditis, sin complicaciones;F
B270;Mononucleosis debida a herpes virus gamma;F
B271;Mononucleosis por citomegalovirus;F
B278;Otras mononucleosis infecciosas;F
B279;Mononucleosis infecciosa, no especificada;F
B300;Queratoconjuntivitis debida a adenovirus;F
B301;Conjuntivitis debida a adenovirus;F
B302;Faringoconjuntivitis viral;F
B303;Conjuntivitis epidémica aguda hemorrágica (enterovírica);F
B308;Otras conjuntivitis virales;F
B309;Conjuntivitis viral, sin otra especificación;F
B330;Mialgia epidémica;F
B331;Enfermedad del río Ross;F
B332;Carditis viral;F
B333;Infecciones debidas a retrovirus, no clasificadas en otra parte;F
B334;Síndrome (cardio) pulmonar por hantavirus [SPH] [SCPH] ;F
B338;Otras enfermedades virales especificadas;F
B340;Infección debida a adenovirus, sin otra especificación;F
B341;Infección debida a enterovirus, sin otra especificación;F
B342;Infección debida a Coronavirus, sin otra especificación;F
B343;Infección debida a Parvovirus, sin otra especificación;F
B344;Infección debida a Papovavirus, sin otra especificación;F
B348;Otras infecciones virales de sitio no especificado;F
B349;Infección viral, no especificada;F
B350;Tiña de la barba y del cuero cabelludo;F
B351;Tiña de las uñas;F
B352;Tiña de la mano;F
B353;Tiña del pie [Tinea pedis];F
B354;Tiña del cuerpo [Tinea corporis];F
B355;Tiña imbricada [Tinea imbricata];F
B356;Tiña inguinal [Tinea cruris];F
B358;Otras dermatofitosis;F
B359;Dermatofitosis, no especificada;F
B360;Pitiriasis versicolor;F
B361;Tiña negra;F
B362;Piedra blanca;F
B363;Piedra negra;F
B368;Otras micosis superficiales especificadas;F
B369;Micosis superficial, sin otra especificación;F
B370;Estomatitis candidiásica;F
B371;Candidiasis pulmonar;F
B372;Candidiasis de la piel y las uñas;F
B373;Candidiasis de la vulva y de la vagina;F
B374;Candidiasis de otras localizaciones urogenitales;F
B375;Meningitis debida a candida;F
B376;Endocarditis debida a candida;F
B377;Sepsis debida a candida;F
B378;Candidiasis de otros sitios;F
B379;Candidiasis, no especificada;F
B380;Coccidioidomicosis pulmonar aguda;F
B381;Coccidioidomicosis pulmonar crónica;F
B382;Coccidioidomicosis pulmonar, sin otra especificación;F
B383;Coccidioidomicosis cutánea;F
B384;Meningitis debida a coccidioidomicosis;F
B387;Coccidioidomicosis diseminada;F
B388;Otras formas de coccidioidomicosis;F
B389;Coccidioidomicosis, no especificada;F
B390;Infección pulmonar aguda debida a Histoplasma capsulatum;F
B391;Infección pulmonar crónica debida a Histoplasma capsulatum;F
B392;Infección pulmonar debida a Histoplasma capsulatum, sin otra especificación;F
B393;Infección diseminada debida a Histoplasma capsulatum;F
B394;Histoplasmosis debida a Histoplasma capsulatum, sin otra especificación;F
B395;Infección debida a Histoplasma duboisii;F
B399;Histoplasmosis, no especificada;F
B400;Blastomicosis pulmonar aguda;F
B401;Blastomicosis pulmonar crónica;F
B402;Blastomicosis pulmonar, sin otra especificación;F
B403;Blastomicosis cutánea;F
B407;Blastomicosis diseminada;F
B408;Otras formas de blastomicosis;F
B409;Blastomicosis, no especificada;F
B410;Paracoccidioidomicosis pulmonar;F
B417;Paracoccidioidomicosis diseminada;F
B418;Otras formas de paracoccidioidomicosis;F
B419;Paracoccidioidomicosis, no especificada;F
B420;Esporotricosis pulmonar;F
B421;Esporotricosis linfocutánea;F
B427;Esporotricosis diseminada;F
B428;Otras formas de esporotricosis;F
B429;Esporotricosis, no especificada;F
B430;Cromomicosis cutánea;F
B431;Absceso cerebral feomicótico;F
B432;Absceso y quiste subcutáneo feomicótico;F
B438;Otras formas de cromomicosis;F
B439;Cromomicosis,no especificada;F
B440;Aspergilosis pulmonar invasiva;F
B441;Otras aspergilosis pulmonares;F
B442;Aspergilosis amigdalina;F
B447;Aspergilosis diseminada;F
B448;Otras formas de aspergilosis;F
B449;Aspergilosis, no especificada;F
B450;Criptococosis pulmonar;F
B451;Criptococosis cerebral;F
B452;Criptococosis cutánea;F
B453;Criptococosis ósea;F
B457;Criptococosis diseminada;F
B458;Otras formas de criptococosis;F
B459;Criptococosis, no especificada;F
B460;Mucormicosis pulmonar;F
B461;Mucormicosis rinocerebral;F
B462;Mucormicosis gastrointestinal;F
B463;Mucormicosis cutánea;F
B464;Mucormicosis diseminada;F
B465;Mucormicosis, sin otra especificación;F
B468;Otras cigomicosis;F
B469;Cigomicosis, no especificada;F
B470;Eumicetoma;F
B471;Actinomicetoma;F
B479;Micetoma, no especificado;F
B480;Lobomicosis;F
B481;Rinosporidiosis;F
B482;Alesqueriasis;F
B483;Geotricosis;F
B484;Penicilosis;F
B487;Micosis oportunistas;F
B488;Otras micosis especificadas;F
B49X;Micosis, no especificada;F
B500;Paludismo debido a Plasmodium falciparum con complicaciones cerebrales;F
B508;Otro paludismo grave y complicado debido a Plasmodium falciparum;F
B509;Paludismo debido a Plasmodium falciparum, sin otra especificación;F
B510;Paludismo debido a Plasmodium vivax con ruptura esplénica;F
B518;Paludismo debido a Plasmodium vivax con otras complicaciones;F
B519;Paludismo debido a Plasmodium vivax, sin complicaciones;F
B520;Paludismo debido a Plasmodium malariae con nefropatía;F
B528;Paludismo debido a Plasmodium malariae con otras complicaciones;F
B529;Paludismo debido a Plasmodium malariae, sin complicaciones;F
B530;Paludismo debido a Plasmodium ovale;F
B531;Paludismo debido a plasmodios de los simios;F
B538;Otro paludismo confirmado parasitológicamente, no clasificado en otra parte;F
B54X;Paludismo [malaria] no especificado;F
B550;Leishmaniasis visceral;F
B551;Leishmaniasis cutánea;F
B552;Leishmaniasis mucocutánea;F
B559;Leishmaniasis, no especificada;F
B560;Tripanosomiasis gambiense;F
B561;Tripanosomiasis rhodesiense;F
