2013 3d	2013 4d	descripcion	actual 3d	actual 4d
NULL	NULL	HEMORROIDES TROMBOSADAS NO ESPECIFICADAS	I84	7
NULL	NULL	HEMORROIDES NO ESPECIFICADAS, CON OTRAS COMPLICACIONES	I84	8
NULL	NULL	HEMORROIDES NO ESPECIFICADAS, SIN COMPLICACION	I84	9
NULL	NULL	APENDICITIS AGUDA CON PERITONITIS GENERALIZADA	K35	0
NULL	NULL	APENDICITIS AGUDA CON ABSCESO PERITONAL	K35	1
NULL	NULL	APENDICITIS AGUDA, NO ESPECIFICADA	K35	9
NULL	NULL	ILEOCOLITIS (CRONICA) ULCERATIVA	K51	1
NULL	NULL	PANCREATITIS AGUDA	K85	X
NULL	NULL	PAPULOSIS LINFOMATOIDE	L41	2
NULL	NULL	ULCERA DE DECUBITO	L89	X
NULL	NULL	FASCITIS NODULAR	M72	3
NULL	NULL	FASCITIS, NO CLASIFICADA EN OTRA PARTE	M72	5
NULL	NULL	INSUFICIENCIA RENAL TERMINAL	N18	0
NULL	NULL	OTRAS INSUFICIENCIAS RENALES CRONICAS	N18	8
NULL	NULL	PARTO PREMATURO	O60	X
NULL	NULL	MUERTE MATERNA DEBIDA A CUALQUIER CAUSA OBSTETRICA QUE OCURRE DESPUES DE 42 DIAS PERO ANTES DE UN AÑO DEL PARTO	O96	X
NULL	NULL	MUERTE POR SECUELAS DE CAUSAS OBSTETRICAS DIRECTAS	O97	X
NULL	NULL	ESTRIDOR LARINGEO CONGENITO	Q31	4
NULL	NULL	FISURA DEL PALADAR DURO, BILATERAL	Q35	0
NULL	NULL	FISURA DEL PALADAR BLANDO, BILATERAL	Q35	2
NULL	NULL	FISURA DEL PALADAR DURO Y DEL PALADAR BLANDO, BILATERAL	Q35	4
NULL	NULL	FISURA DEL PALADAR, LINEA MEDIA	Q35	6
NULL	NULL	FISURA DEL PALADAR BILATERAL, SIN OTRA ESPECIFICACION	Q35	8
NULL	NULL	FIEBRE CON ESCALOFRIO	R50	0
NULL	NULL	FIEBRE PERSISTENTE	R50	1
NULL	NULL	SINDROME DE LA MUERTE SUBITA INFANTIL	R95	X
NULL	NULL	AGENTE RESISTENTE A PENICILINA	U80	0
NULL	NULL	AGENTE RESISTENTE A METICILINA	U80	1
NULL	NULL	AGENTE RESISTENTE A OTROS ANTIBIOTICOS RELACIONADOS CON LA PENICILINA	U80	8
NULL	NULL	AGENTE RESISTENTE A VANCOMICINA	U81	0
NULL	NULL	AGENTE RESISTENTE A OTROS ANTIBIOTICOS RELACIONADOS CON LA VANCOMICINA	U81	8
NULL	NULL	AGENTE RESISTENTE A OTRO ANTIBIOTICO ESPECIFICADO	U89	8
NULL	NULL	AGENTE RESISTENTE A ANTIBIOTICO SIN ESPECIFICAR	U89	9
NULL	NULL	VICTIMA DE TERREMOTO, EN UNA ESCUELA, EN OTRA INSTITUCION, O EN UN AREA ADMINISTRATIVA PUBLICA	X34	2
NULL	NULL	VICTIMA DE TERREMOTO, EN UN AREA DE DEPORTE O ATLETISMO	X34	3
NULL	NULL	VICTIMA DE TERREMOTO, EN UNA CALLE O CARRETERA	X34	4
NULL	NULL	VICTIMA DE TERREMOTO, EN UN COMERCIO O EN UN AREA DE SERVICIOS	X34	5
NULL	NULL	VICTIMA DE TERREMOTO, EN UN AREA INDUSTRIAL O DE LA CONSTRUCCION	X34	6
NULL	NULL	VICTIMA DE TERREMOTO, EN UNA GRANJA (O PREDIO AGRICOLA)	X34	7
NULL	NULL	EXPOSICION A FACTORES NO ESPECIFICADOS, (OCURRIDA) EN UNA INSTITUCION RESIDENCIAL	X59	1
NULL	NULL	EXPOSICION A FACTORES NO ESPECIFICADOS, (OCURRIDA) EN UNA ESCUELA, EN OTRA INSTITUCION, O EN UN AREA ADMINISTRATIVA PUBLICA	X59	2
NULL	NULL	EXPOSICION A FACTORES NO ESPECIFICADOS, (OCURRIDA) EN UN AREA DE DEPORTE O ATLETISMO	X59	3
NULL	NULL	EXPOSICION A FACTORES NO ESPECIFICADOS, (OCURRIDA) EN UNA CALLE O CARRETERA	X59	4
NULL	NULL	EXPOSICION A FACTORES NO ESPECIFICADOS, (OCURRIDA) EN UN COMERCIO O EN UN AREA DE SERVICIOS	X59	5
NULL	NULL	EXPOSICION A FACTORES NO ESPECIFICADOS, (OCURRIDA) EN UN AREA INDUSTRIAL O DE LA CONSTRUCCION	X59	6
NULL	NULL	EXPOSICION A FACTORES NO ESPECIFICADOS, (OCURRIDA) EN UNA GRANJA (O PREDIO AGRICOLA)	X59	7
NULL	NULL	EXPOSICION A FACTORES NO ESPECIFICADOS, (OCURRIDA) EN OTRO LUGAR ESPECIFICADO	X59	8
NULL	NULL	VIOLENCIA ENTRE PARES	T74	4
NULL	NULL	PROBLEMAS RELACIONADOS CON LA DOCUMENTACION PERSONAL	Z65	6
NULL	NULL	PROBLEMAS DEL NIÑO, ADOLESCENTE O ADULTO EN SITUACION DE CALLE	Z76	6
A09	0	OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO 	NULL	NULL
A09	9	GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO 	NULL	NULL
B17	9	HEPATITIS VIRAL AGUDA NO ESPECIFICADA 	NULL	NULL
B98	0	HELICOBACTER PYLORI [H.PYLORI] COMO LA CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS 	NULL	NULL
B98	1	VIBRIO VULNIFICUS COMO LA CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS 	NULL	NULL
C79	9	TUMOR MALIGNO SECUNDARIO, SITIO NO ESPECIFICADO	NULL	NULL
C80	0	TUMOR MALIGNO, DE SITIO PRIMARIO DESCONOCIDO, ASÍ DESCRITO 	NULL	NULL
C80	9	TUMOR MALIGNO, SITIO PRIMARIO NO ESPECIFICADO	NULL	NULL
C81	4	LINFOMA DE HODGKIN CLÁSICO RICO EN LINFOCITOS 	NULL	NULL
C82	3	LINFOMA FOLICULAR GRADO IIIA 	NULL	NULL
C82	4	LINFOMA FOLICULAR GRADO IIIB 	NULL	NULL
C82	5	LINFOMA CENTRO FOLICULAR DIFUSO 	NULL	NULL
C82	6	LINFOMA CENTRO FOLICULAR CUTÁNEO 	NULL	NULL
C84	6	LINFOMA ANAPLÁSICO DE CÉLULAS GRANDES ALK-POSITIVO 	NULL	NULL
C84	7	LINFOMA ANAPLÁSICO DE CÉLULAS GRANDES ALK-NEGATIVO 	NULL	NULL
C84	8	LINFOMA CUTÁNEO DE CÉLULAS T, NO ESPECIFICADO	NULL	NULL
C84	9	LINFOMA DE CÉLULAS T/NK MADURAS, NO ESPECIFICADO 	NULL	NULL
C85	2	LINFOMA MEDIASTINAL DE CÉLULAS B GRANDES (DEL TIMO	NULL	NULL
C86	0	LINFOMA EXTRANODAL DE CÉLULAS T/NK, TIPO NASAL 	NULL	NULL
C86	1	LINFOMA HEPATOESPLÉNICO DE CÉLULAS T  	NULL	NULL
C86	2	LINFOMA DE CÉLULAS T TIPO ENTEROPATÍA (INTESTINAL)  	NULL	NULL
C86	3	LINFOMA DE CÉLULAS T TIPO PANICULITIS SUBCUTÁNEA  	NULL	NULL
C86	4	LINFOMA BLÁSTICO DE CÉLULAS NK 	NULL	NULL
C86	5	LINFOMA ANGIOINMUNOBLÁSTICO DE CÉLULAS T  	NULL	NULL
C86	6	TRASTORNOS LINFOPROLIFERATIVOS PRIMARIO CUTÁNEOS DE CÉLULAS T CD30-POSITIVO  	NULL	NULL
C88	4	LINFOMA DE CÉLULAS B EXTRANODAL DE ZONA MARGINAL DE TEJIDO LINFOIDE ASOCIADO A MUCOSAS [LINFOMA TLAM] 	NULL	NULL
C90	3	PLASMOCITOMA SOLITARIO 	NULL	NULL
C91	6	LEUCEMIA PROLINFOCÍTICA DE CÉLULAS TIPO T 	NULL	NULL
C91	8	LEUCEMIA TIPO BURKITT DE CÉLULAS B MADURAS 	NULL	NULL
C92	6	LEUCEMIA MIELOIDE AGUDA CON ANORMALIDAD 11Q23	NULL	NULL
C92	8	LEUCEMIA MIELOIDE AGUDA CON DISPLASIA MULTILINAJE	NULL	NULL
C93	3	LEUCEMIA MIELOMONOCÍTICA JUVENIL 	NULL	NULL
C94	6	ENFERMEDAD MIELODISPLÁSICA Y MIELOPROLIFERATIVA, NO CLASIFICADA EN OTRA PARTE 	NULL	NULL
C96	4	SARCOMA DE CÉLULAS DENDRÍTICAS (CÉLULAS ACCESORIAS	NULL	NULL
C96	5	HISTIOCITOSIS DE CÉLULAS DE LANGERHANS MULTIFOCAL Y UNISISTÉMICA	NULL	NULL
C96	6	HISTIOCITOSIS DE CÉLULAS DE LANGERHANS UNIFOCAL 	NULL	NULL
C96	8	SARCOMA HISTIOCÍTICO	NULL	NULL
D46	5	ANEMIA REFRACTARIA CON DISPLASIA MULTILINAJE 	NULL	NULL
D46	6	SÍNDROME MIELODISPLÁSICO CON ANORMALIDAD CROMOSÓMICA AISLADA DEL (5Q) 	NULL	NULL
D47	4	OSTEOMIELOFIBROSIS 	NULL	NULL
D47	5	LEUCEMIA EOSINOFÍLICA CRÓNICA [SÍNDROME HIPEREOSINOFÍLICO] 	NULL	NULL
D68	5	TROMBOFILIA PRIMARIA	NULL	NULL
D68	6	OTRA TROMBOFILIA 	NULL	NULL
D89	3	SÍNDROME DE RECONSTITUCIÓN INMUNE 	NULL	NULL
E88	3	SÍNDROME DE LISIS TUMORAL 	NULL	NULL
G14	X	SÍNDROME POSTPOLIO	NULL	NULL
G21	4	PARKINSONISMO VASCULAR 	NULL	NULL
H54	9	DEFICIENCIA VISUAL NO ESPECIFICADA (BINOCULAR) 	NULL	NULL
I48	0	FIBRILACIÓN AURICULAR PAROXÍSTICA	NULL	NULL
I48	1	FIBRILACIÓN AURICULAR PERSISTENTE 	NULL	NULL
I48	2	FIBRILACIÓN AURICULAR CRÓNICA 	NULL	NULL
I48	3	ALETEO AURICULAR TÍPICO	NULL	NULL
I48	4	ALETEO AURICULAR ATÍPICO 	NULL	NULL
I48	9	FIBRILACIÓN Y ALETEO AURICULAR, NO ESPECIFICADO 	NULL	NULL
I72	5	ANEURISMA Y DISECCIÓN DE OTRAS ARTERIAS PRECEREBRALES	NULL	NULL
I72	6	ANEURISMA Y DISECCIÓN DE ARTERIA VERTEBRAL	NULL	NULL
I98	3	VÁRICES ESOFÁGICAS CON HEMORRAGIA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE 	NULL	NULL
J12	3	NEUMONÍA DEBIDA A METANEUMOVIRUS HUMANO 	NULL	NULL
J21	1	BRONQUIOLITIS AGUDA DEBIDA A METANEUMOVIRUS HUMANO	NULL	NULL
K02	5	CARIES CON EXPOSICIÓN PULPAR	NULL	NULL
K12	3	MUCOSITIS ORAL (ULCERATIVA) 	NULL	NULL
K35	2	APENDICITIS AGUDA CON PERITONITIS GENERALIZADA	NULL	NULL
K35	3	APENDICITIS AGUDA CON PERITONITIS LOCALIZADA 	NULL	NULL
K35	8	OTRAS APENDICITIS AGUDAS, Y LAS NO ESPECIFICADAS 	NULL	NULL
K43	2	HERNIA INCISIONAL SIN OBSTRUCCIÓN O GANGRENA 	NULL	NULL
K43	3	HERNIA PARAESTOMAL CON OBSTRUCCIÓN, SIN GANGRENA 	NULL	NULL
K43	4	HERNIA PARAESTOMAL CON GANGRENA 	NULL	NULL
K43	5	HERNIA PARAESTOMAL SIN OBSTRUCCIÓN O GANGRENA	NULL	NULL
K43	6	OTRAS HERNIAS VENTRALES Y LAS NO ESPECIFICADAS CON OBSTRUCCIÓN, SIN GANGRENA 	NULL	NULL
K43	7	OTRAS HERNIAS VENTRALES Y LAS NO ESPECIFICADAS CON GANGRENA 	NULL	NULL
K52	3	COLITIS DE ETIOLOGÍA INDETERMINADA	NULL	NULL
K64	0	HEMORROIDES DE PRIMER GRADO 	NULL	NULL
K64	1	HEMORROIDES DE SEGUNDO GRADO 	NULL	NULL
K64	2	HEMORROIDES DE TERCER GRADO 	NULL	NULL
K64	3	HEMORROIDES DE CUARTO GRADO 	NULL	NULL
K64	4	MARCAS RESIDUALES EN LA PIEL, DE HEMORROIDES 	NULL	NULL
K64	5	TROMBOSIS VENOSA PERIANAL 	NULL	NULL
K64	8	OTRAS HEMORROIDES ESPECIFICADAS 	NULL	NULL
K64	9	HEMORROIDES, SIN OTRA ESPECIFICACIÓN 	NULL	NULL
L89	0	ÚLCERA DE DECÚBITO Y POR ÁREA DE PRESIÓN, ETAPA I 	NULL	NULL
L89	1	ÚLCERA DE DECÚBITO, ETAPA II  	NULL	NULL
L89	2	ÚLCERA DE DECÚBITO, ETAPA III 	NULL	NULL
L89	3	ÚLCERA DE DECÚBITO, ETAPA IV  	NULL	NULL
L89	9	ÚLCERA DE DECÚBITO Y POR ÁREA DE PRESIÓN, NO ESPECIFICADA	NULL	NULL
N18	1	ENFERMEDAD RENAL CRÓNICA, ETAPA 1	NULL	NULL
N18	2	ENFERMEDAD RENAL CRÓNICA, ETAPA 2 	NULL	NULL
N18	3	ENFERMEDAD RENAL CRÓNICA, ETAPA 3 	NULL	NULL
N18	4	ENFERMEDAD RENAL CRÓNICA, ETAPA 4	NULL	NULL
N18	5	ENFERMEDAD RENAL CRÓNICA, ETAPA 5 	NULL	NULL
N42	3	DISPLASIA DE LA PRÓSTATA	NULL	NULL
O14	2	SÍNDROME HELLP 	NULL	NULL
O43	2	PLACENTA ANORMALMENTE ADHERIDA	NULL	NULL
O60	3	PARTO PREMATURO SIN TRABAJO DE PARTO ESPONTÁNEO 	NULL	NULL
O96	0	MUERTE POR CAUSA OBSTÉTRICA DIRECTA QUE OCURRE DESPUÉS DE 42 DÍAS PERO ANTES DE UN AÑO DEL PARTO 	NULL	NULL
O96	1	MUERTE POR CAUSA OBSTÉTRICA INDIRECTA QUE OCURRE DESPUÉS DE 42 DÍAS PERO ANTES DE UN AÑO DEL PARTO 	NULL	NULL
O96	9	MUERTE POR CAUSA OBSTÉTRICA NO ESPECIFICADA, QUE OCURRE DESPUÉS DE 42 DÍAS PERO ANTES DE UN AÑO DEL PARTO 	NULL	NULL
O97	0	MUERTE POR SECUELAS DE CAUSA OBSTÉTRICA DIRECTA 	NULL	NULL
O97	1	MUERTE POR SECUELAS DE CAUSA OBSTÉTRICA INDIRECTA 	NULL	NULL
O97	9	MUERTE POR SECUELAS DE CAUSA OBSTÉTRICA NO ESPECIFICADA	NULL	NULL
O98	7	ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA [VIH] QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO	NULL	NULL
R26	3	INMOVILIDAD 	NULL	NULL
R57	2	CHOQUE SÉPTICO 	NULL	NULL
R63	6	INGESTA INSUFICIENTE DE ALIMENTOS Y AGUA DEBIDA A DESCUIDO PERSONAL 	NULL	NULL
R65	0	SÍNDROME DE RESPUESTA INFLAMATORIA SISTÉMICA DE ORIGEN INFECCIOSO, SIN FALLA ORGÁNICA 	NULL	NULL
R65	1	SÍNDROME DE RESPUESTA INFLAMATORIA SISTÉMICA DE ORIGEN INFECCIOSO, CON FALLA ORGÁNICA 	NULL	NULL
R65	2	SÍNDROME DE RESPUESTA INFLAMATORIA SISTÉMICA DE ORIGEN NO INFECCIOSO, SIN FALLA ORGÁNICA 	NULL	NULL
R65	3	SÍNDROME DE RESPUESTA INFLAMATORIA SISTÉMICA DE ORIGEN NO INFECCIOSO, CON FALLA ORGÁNICA 	NULL	NULL
R65	9	SÍNDROME DE RESPUESTA INFLAMATORIA SISTÉMICA, NO ESPECIFICADO 	NULL	NULL
R95	0	SÍNDROME DE LA MUERTE SÚBITA INFANTIL, CON MENCIÓN DE AUTOPSIA	NULL	NULL
R95	9	SÍNDROME DE LA MUERTE SÚBITA INFANTIL, SIN MENCIÓN DE AUTOPSIA	NULL	NULL
U06	 	USO EMERGENTE DE U06	NULL	NULL
U06	0	USO EMERGENTE DE U06.0	NULL	NULL
U06	1	USO EMERGENTE DE U06.1	NULL	NULL
U06	2	USO EMERGENTE DE U06.2	NULL	NULL
U06	3	USO EMERGENTE DE U06.3	NULL	NULL
U06	4	USO EMERGENTE DE U06.4	NULL	NULL
U06	5	USO EMERGENTE DE U06.5	NULL	NULL
U06	6	USO EMERGENTE DE U06.6	NULL	NULL
U06	7	USO EMERGENTE DE U06.7	NULL	NULL
U06	8	USO EMERGENTE DE U06.8	NULL	NULL
U06	9	USO EMERGENTE DE U06.9	NULL	NULL
U07	 	USO EMERGENTE DE U07	NULL	NULL
U07	0	USO EMERGENTE DE U07.0	NULL	NULL
U07	1	USO EMERGENTE DE U07.1	NULL	NULL
U07	2	USO EMERGENTE DE U07.2	NULL	NULL
U07	3	USO EMERGENTE DE U07.3	NULL	NULL
U07	4	USO EMERGENTE DE U07.4	NULL	NULL
U07	5	USO EMERGENTE DE U07.5	NULL	NULL
U07	6	USO EMERGENTE DE U07.6	NULL	NULL
U07	7	USO EMERGENTE DE U07.7	NULL	NULL
U07	8	USO EMERGENTE DE U07.8	NULL	NULL
U07	9	USO EMERGENTE DE U07.9	NULL	NULL
U82	0	RESISTENCIA A PENICILINA 	NULL	NULL
U82	1	RESISTENCIA A METICILINA	NULL	NULL
U82	2	RESISTENCIA A BETALACTAMASA DE ESPECTRO EXTENDIDO (BLEE)	NULL	NULL
U82	8	RESISTENCIA A OTROS ANTIBIÓTICOS BETALÁCTAMICOS	NULL	NULL
U82	9	RESISTENCIA A ANTIBIÓTICOS BETALÁCTAMICOS, NO ESPECIFICADOS	NULL	NULL
U83	0	RESISTENCIA A VANCOMICINA	NULL	NULL
U83	1	RESISTENCIA A OTROS ANTIBIÓTICOS SIMILARES A VANCOMICINA	NULL	NULL
U83	2	RESISTENCIA A QUINOLONAS	NULL	NULL
U83	7	RESISTENCIA A MÚLTIPLES ANTIBIÓTICOS	NULL	NULL
U83	8	RESISTENCIA A OTROS ANTIBIÓTICOS ÚNICOS ESPECIFICADOS	NULL	NULL
U83	9	RESISTENCIA A ANTIBIÓTICOS NO ESPECIFICADOS	NULL	NULL
U84	0	RESISTENCIA A DROGAS ANTIPARASITARIAS	NULL	NULL
U84	1	RESISTENCIA A DROGAS ANTIMICÓTICAS	NULL	NULL
U84	2	RESISTENCIA A DROGAS ANTIVIRALES	NULL	NULL
U84	3	RESISTENCIA A DROGAS ANTITUBERCULOSAS	NULL	NULL
U84	7	RESISTENCIA A MÚLTIPLES DROGAS ANTIMICROBIANAS	NULL	NULL
U84	8	RESISTENCIA A OTRAS DROGAS ANTIMICROBIANAS ESPECIFICADAS	NULL	NULL
U84	9	RESISTENCIA A DROGAS ANTIMICROBIANAS NO ESPECIFICADAS	NULL	NULL
U85	X	RESISTENCIA A DROGAS ANTINEOPLÁSICAS	NULL	NULL
Z92	2	HISTORIA PERSONAL DE USO (PRESENTE) DE OTROS MEDICAMENTOS POR LARGO TIEMPO	NULL	NULL
Z99	4	DEPENDENCIA DE CORAZÓN ARTIFICIAL	NULL	NULL
