rnos_hmi	rnos_gob_cordoba	nom_os_hmi	nom_os_gob_cordoba
NULL	402806	NULL	OBRA SOCIAL DE DIRECCION DE LA ACTIVIDAD AEROCOMER
NULL	402905	NULL	OBRA SOCIAL DE DIRECCIÓN WITCEL
NULL	127505	NULL	OBRA SOCIAL DE  LAS ASOCIACIONES DE EMPLEADOS DE F
NULL	124209	NULL	OBRA SOCIAL DE EMBALADORES
NULL	002006	NULL	OBRA SOCIAL DE VIALIDAD NACIONAL
NULL	127307	NULL	OBRA SOCIAL DE TRABAJADORES VIALES Y AFINES DE LA 
NULL	124704	NULL	OBRA SOCIAL DE TRABAJADORES DE LA INDUSTRIA AVICOL
NULL	001904	NULL	OBRA SOCIAL DE LA FEDERACION DE CAMARAS Y CENTROS 
NULL	603506	NULL	ASOC. FEDERATIVA DE OBRAS SOCIALES
NULL	510006	NULL	DIRECCION GENERAL DE ASISTENCIA M#DICA SOCIAL UNIV
NULL	510303	NULL	OBRA SOCIAL DEL PERSONAL DE LA UNIVERSIDAD NACIONA
NULL	997001	NULL	PROGRAMA FEDERAL DE SALUD (PROFE)
NULL	127109	NULL	OBRA SOCIAL DEL PERSONAL DE TELECOMUNICACIONES SIN
NULL	127703	NULL	OBRA SOCIAL PERSONAL ESTACIONES DE SERVICIO,GARAGE
NULL	124605	NULL	OBRA SOCIAL PARA LOS AGENTES DE PREVISION Y SEGURI
NULL	127604	NULL	OBRA SOCIAL PARA EL PERSONAL DE OBRAS Y SERVICIOS 
NULL	001607	NULL	OBRA SOCIAL DEL SINDICATO UNIDO DE TRABAJADORES DE
NULL	603704	NULL	ASOC. DE OBRAS SOCIALES DE PERS. DE DIR.
NULL	125400	NULL	OBRA SOCIAL PARA EL PERS. DE OBRAS Y SERVICIOS SAN
NULL	001706	NULL	OBRA SOCIAL DEL PERSONAL JERARQUICO DE LA REPUBLIC
NULL	002402	NULL	OBRA SOCIAL DEL PERSONAL JERARQUICO DEL TRANSPORTE
NULL	100762	NULL	OBRA SOCIAL PARA EL PERS. DE ESCRIBANIAS DE LA PRO
NULL	012440	NULL	OBRA SOCIAL PARA EL PERS. DE EMPRESAS DE LIMPIEZA 
NULL	002303	NULL	OBRA SOCIAL PARA EL  PERSONAL DE EMPRESAS DE  LIMP
NULL	126403	NULL	OBRA SOCIAL MEDICA AVELLANEDA
NULL	603407	NULL	FED. DE O.S. DE TRABAJ. DE LOS MEDIOS DE COMUNICAC
NULL	603605	NULL	FEDERACION ARGENTINA DE OBRAS SOCIALES
NULL	916001	NULL	O.S.P. CHACO (INSSSEP)
NULL	510105	NULL	OBRA SOCIAL DEL PERSONAL DE LA UNIVERSIDAD NACIONA
NULL	402509	NULL	OBRA SOCIAL YPF
NULL	002105	NULL	OBRA SOCIAL PROFESIONALES DEL TURF DE LA REPUBLICA
NULL	000001	NULL	MUTUAL DE LOS MEDICOS MUNICIPALES DE LA CIUDAD DE 
00010	000109	O.S.PERS. JERAR. IND. GRAFICAS.                   	OBRA SOCIAL DEL PERS. JERARQUICO DE LA INDUSTRIA G
00020	000208	O.S.PERS. IND. GRAFICA DE LA PCIA. DE CORDOBA     	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA GRAFICA D
00030	000307	O.S. PORTUARIOS ARGENTINOS DE MAR DEL PLATA       	OBRA SOCIAL PORTUARIOS ARGENTINOS DE MAR DEL PLATA
00040	000406	O.S.PERS. DEL ORGANISMO DE CONTROL EXTERNO        	OBRA SOCIAL DEL PERSONAL DEL ORGANISMO DE CONTROL 
00050	000505	O.S. CAPITANES, PILOTOS Y PATRONES DE PESCA       	OBRA SOCIAL DE CAPITANES, PILOTOS Y PATRONES DE PE
00060	000604	O.S. AGENTES DE LOTERIAS Y AFINES DE LA R.A.      	OBRA SOCIAL DE AGENTES DE LOTERIAS Y AFINES DE LA 
00070	000703	MUTUAL PERS. DE AGUA Y ENERGIA ELECTRICA MENDOZA  	MUTUAL DEL PERSONAL DEL AGUA Y LA ENERGIA DE MENDO
00080	000802	O.S. YACIMIENTOS PETROLIFEROS FISCALES            	OBRA SOCIAL DE YPF
00090	000901	O.S.ACTIVIDAD DE .SEGUROS,REASEG.,CAP.AH.Y PR.VIV 	OBRA SOCIAL DE LA ACTIVIDAD DE SEGUROS, REASEGUROS
00100	001003	O.S.DEL PERSONAS DE OBRAS Y SERVICIOS SANITARIOS  	OBRA SOCIAL PARA EL PERS. DE OBRAS Y SERVICIOS SAN
00110	001102	O.S.PARA LA ACTIVIDAD DOCENTE                     	OBRA SOCIAL PARA LA ACTIVIDAD DOCENTE
00120	001201	O.S.PERS.MINISTERIO ECONOMIA Y OBRAS Y SERV.PUBLIC	OBRA SOCIAL PARA EL PERSONAL DEL MINISTERIO DE ECO
00130	001300	O.S.PARA EL PERSONAL FERROVIARIO                  	OBRA SOCIAL FERROVIARIA
10010	100106	O.S. PARA EL PERS. IND. ACEITERA Y AFINES         	OBRA SOCIAL PARA EL PERSONAL DE LA INDUSTRIA ACEIT
10020	100205	O.S. ACTORES                                      	OBRA SOCIAL DE ACTORES
10030	100304	O.S. TECNICOS DE VUELO DE LINEAS AEREAS           	OBRA SOCIAL DE TECNICOS DE VUELO DE LINEAS AEREAS
10040	100403	O.S.PERS. SUPER.Y PROFESIONAL EMP.AEROCOMERCIALES 	OBRA SOCIAL DEL PERSONAL SUPERIOR Y PROFESIONAL DE
10050	100502	O.S.PERS. AERONAUTICO                             	OBRA SOCIAL DEL PERSONAL AERONAUTICO
10060	100601	O.S.PERS. DE AERONAVEGACION DE ENTES PRIVADOS     	OBRA SOCIAL DEL PERSONAL DE AERONAVEGACION DE ENTE
10070	100700	O.S.PERS. TECNICO AERONAUTICO                     	OBRA SOCIAL DEL PERSONAL TECNICO AERONAUTICO
10080	100809	O.S. AERONAVEGANTES                               	OBRA SOCIAL DE AERONAVEGANTES
10090	100908	O.S. EMPL. DE AGENCIAS DE INFORMES                	OBRA SOCIAL  EMPLEADOS DE AGENCIAS DE INFORMES
10100	101000	O.S.PERS. DE AGUAS GASEOSAS Y AFINES              	OBRA SOCIAL DEL PERSONAL DE AGUAS GASEOSAS Y AFINE
10110	101109	O.S. ALFAJOREROS, REPOSTEROS, PIZZEROS Y HELADEROS	OBRA SOCIAL DE ALFAJOREROS, REPOSTEROS, PIZZEROS Y
10120	101208	O.S.PERS. IND. DE LA ALIMENTACION                 	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DE LA ALI
10130	101307	O.S.PERS. DE ARTES GRAFICAS DEL CHACO             	OBRA SOCIAL DEL PERS. DE ARTES GRAFICAS DEL CHACO
10140	101406	O.S. DEL PERS. DE ARTES GRAFICAS DE SANTA FE.     	OBRA SOCIAL ARTES GRAFICAS DE SANTA FE
10150	101505	O.S. ARTISTAS DE VARIEDADES                       	OBRA SOCIAL DE ARTISTAS DE VARIEDADES
10160	101604	O.S.PERS. DEL AUTOMOVIL CLUB ARGENTINO            	OBRA SOCIAL DEL PERSONAL DEL AUTOMOVIL  CLUB ARGEN
10170	101703	O.S.PERS. DEL AZ. DE CALIL.                       	OBRA SOCIAL DEL PERS. DEL AZUCAR DE CALILEGUA
10180	101802	O.S.PERS. DEL AZ.DEL ING. LA ESPERANZA            	OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO LA
10190	101901	O.S.PERS. DEL AZ.DEL ING. LEDESMA                 	OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO LE
10200	102003	O.S.PERS. DEL AZ.DEL ING. LAS TOSCAS              	OBRA SOCIAL DEL PERS. DEL AZUCAR DEL INGENIO LAS T
10210	102102	O.S.PERS. DEL AZ.DEL ING. RIO GRANDE              	OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO RI
10220	102201	O.S.PERS. DEL AZ.DEL ING. SAN ISIDRO              	OBRA SOCIAL DEL PERS. DEL AZUCAR DEL INGENIO SAN I
10230	102300	O.S.PERS. DEL AZ.DEL ING. SAN MARTIN              	OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO SA
10240	102409	O.S. DEL PERS. DEL AZUCAR DE VILLA OCAMPO.        	OBRA SOCIAL AZUCAR VILLA OCAMPO
10260	102607	O.S.PERS. DE LA ACTIVIDAD AZUCARERA TUCUMANA      	OBRA SOCIAL DEL PERS. DE LA ACT. AZUCARERA TUCUMAN
10270	102706	O.S.PERS. IND. AZUCARERA                          	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA AZUCARERA
10280	102805	O.S. DE BANCARIOS.                                	0BRA SOCIAL DE BANCARIOS
10290	102904	O.S.PERS. DE BARRACAS DE LANAS, CUEROS Y ANEXOS   	OBRA SOCIAL DEL PERSONAL DE BARRACAS DE LANAS, CUE
10300	103006	O.S.PERS. IND. BOTONERA                           	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA BOTONERA
10310	103105	O.S.PERS. IND. DEL CALZADO                        	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CALZA
10320	103204	O.S. CAMIONEROS Y TRANSPORTE AUTOMOTOR DE CARGAS  	OBRA SOCIAL DE CONDUCTORES CAMIONEROS Y PERSONAL D
10330	103303	O.S.PERS. JUNTA NAC. DE CARNES                    	0BRA SOCIAL DEL PERS. DE LA JUNTA NACIONAL DE CARN
10340	103402	O.S.PERS. DE CARGA Y DESCARGA                     	OBRA SOCIAL DEL PERSONAL DE CARGA Y DESCARGA
10350	103501	O.S. DEL PERS. DE SUPERVISION, VIGILANCIA Y TECNIC	OBRA SOCIAL DEL PERS. DE SUPERVISION
10360	103600	O.S.PERS. AUXILIAR DE CASAS PARTICULARES          	OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICU
10370	103709	O.S.PERS. IND. DEL CAUCHO                         	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CAUCH
10380	103808	O.S.PERS. DEL CAUCHO                              	OBRA SOCIAL DEL PERSONAL DEL CAUCHO
10390	103907	O.S.PERS. IND. DEL CAUCHO DE SANTA FE             	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CAUCH
10400	104009	O.S.PERS. DE CEMENTERIOS                          	OBRA SOCIAL DEL PERSONAL DE CEMENTERIOS DE LA REPU
10410	104108	O.S. CERAMISTAS                                   	OBRA SOCIAL DE CERAMISTAS
10420	104207	O.S.PERS. CERAMICA, SANITARIOS, PORC.MESA Y AFINES	OBRA SOCIAL DEL PERSONAL DE LA CERAMICA, SANITARIO
10430	104306	O.S.PERS. DE LA ACTIVIDAD CERVECERA Y AFINES      	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD CERVECERA
10440	104405	O.S.PERS. CINEMATOGRAFICO DE MAR DEL PLATA        	OBRA SOCIAL DEL PERSONAL CINEMATOGRAFICO DE MAR DE
10450	104504	O.S.PERS. IND. CINEMATOGRAFICA                    	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA CINEMATOG
10460	104603	O.S. OPERADORES CINEMATOGRAFICOS                  	OBRA SOCIAL DE OPERADORES CINEMATOGRAFICOS
10470	104702	O.S. COLCHONEROS                                  	OBRA SOCIAL DE COLCHONEROS
10480	104801	O.S.AZULEJOS,MOSAICOS,GRANITEROS,LUSTRAD.Y LANEROS	OBRA SOCIAL DE COLOCADORES DE AZULEJOS, MOSAICOS, 
10490	104900	O.S.EMPLEADOS DE COMERCIO                         	OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO
10500	105002	O.S. COND. NAVALES                                	OBRA SOCIAL DE CONDUCTORES NAVALES
10510	105101	O.S. CONSIG. MERC. GEN. DE AVELLANEDA             	OBRA SOCIAL DE CONSIGNATARIOS DEL MERCADO GENERAL 
10520	105200	INST.SER.SOC. PERS. IND. DE LA CONSTRUCCION       	INST. DE SERV. SOC. PARA EL PERS. DE LA IND. DE LA
10530	105309	O.S.PERS. ADM.Y TECNICO DE CONSTRUCCION Y AFINES  	OBRA SOCIAL DEL PERSONAL ADMINISTRATIVO Y TECNICO 
10540	105408	O.S.PERS. DE LA CONSTRUCCION                      	OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION
10550	105507	O.S. CORTADORES INDUMENTARIA                      	OBRA SOCIAL DE LOS CORTADORES DE LA INDUMENTARIA
10560	105606	O.S.PERS. IND. DEL CUERO Y AFINES                 	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CUERO
10570	105705	O.S.PERS. IND. DEL CHACINADO Y AFINES             	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CHACI
10580	105804	O.S. CHOFERES DE CAMIONES                         	OBRA SOCIAL DE CHOFERES DE CAMIONES
10590	105903	O.S. DE CHOFERES PARTICULARES.                    	OBRA SOCIAL CHOFERES PARTICULARES
10600	106005	O.S.PERS. ENTIDADES DEPORTIVAS Y CIVILES          	OBRA SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS Y
10610	106104	O.S.EMPL. DE DESPACHANTES DE ADUANA               	OBRA SOCIAL DE EMPLEADOS DE DESPACHANTES DE ADUANA
10620	106203	O.S.PERS. DE DISTRIBUIDORAS CINEMATOGRAFICAS      	OBRA SOCIAL DEL PERSONAL DE DISTRIBUIDORAS CINEMAT
10630	106302	O.S. DOCENTES PARTICULARES                        	OBRA SOCIAL DE DOCENTES PARTICULARES
10640	106401	O.S.PERS. DE ED.DE RENTA Y HORIZ. DE LA REP.ARG.  	OBRA SOCIAL DEL PERSONAL DE EDIFICIOS DE RENTA Y H
10650	106500	O.S.PERS. ED.DE RENTA Y HORIZ. CAP.FED. Y G.B.A.  	OBRA SOCIAL DEL PERSONAL DE EDIFICIOS DE RENTA Y H
10660	106609	O.S. ELECTRICISTAS NAVALES                        	OBRA SOCIAL ELECTRICISTAS NAVALES
10670	106708	O.S. OBR.EMPACADORES DE FRUTAS RIO NEGRO-NEUQUEN  	OBRA SOCIAL DE OBREROS EMPACADORES DE FRUTA  DE RI
10680	106807	O.S.PERS. DE LA ENSE#ANZA PRIVADA                 	OBRA SOCIAL DEL PERSONAL DE LA ENSE¥ANZA PRIVADA
10690	106906	O.S.PERS. ESCRIBANIAS DE PROV. DE BUENOS AIRES    	OBRA SOCIAL DEL PERSONAL DE ESCRIBANIAS DE LA PROV
10700	107008	O.S.PERS. DE ESCRIBANOS                           	OBRA SOCIAL DEL PERSONAL DE ESCRIBANOS
10710	107107	O.S.PERS. DEL ESPECTACULO PUBLICO                 	OBRA SOCIAL DEL PERSONAL DEL ESPECTACULO PUBLICO
10720	107206	O.S.PERS.ESTAC.SERV.,GARAGES,PLAYAS ESTAC.,LAV.AUT	OBRA SOCIAL DEL PERSONAL DE ESTACIONES DE SERVICIO
10730	107305	O.S. DEL PERS. DEL ESTADO.                        	OBRA SOCIAL DEL PERS. DEL ESTADO
10740	107404	O.S.PERS. DE FARMACIA                             	OBRA SOCIAL DEL PERSONAL DE FARMACIA
10750	107503	O.S.PERS. FERIA INFANTIL                          	OBRA SOCIAL DE LA FERIA INFANTIL
10760	107602	O.S.PERS. DE FERMOLAC                             	OBRA SOCIAL DEL PERS. DE FERMOLAC
10770	107701	O.S. FERROVIARIOS                                 	OBRA SOCIAL DE FERROVIARIOS
10780	107800	O.S.PERS. IND. DEL FIBROCEMENTO                   	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL FIBRO
10790	107909	O.S.PERS. IND. FIDEERA                            	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA FIDEERA
10800	108001	O.S.PERS. IND. FORESTAL DE SANTIAGO DEL ESTERO    	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA FORESTAL 
10810	108100	O.S.PERS. IND. DEL FOSFORO                        	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL FOSFO
10820	108209	O.S. FOTOGRAFOS                                   	OBRA SOCIAL DE FOTOGRAFOS
10830	108308	O.S. DEL PERS. DEL FRIGORIFICOS MERCADO NAC. DE HA	OBRA SOCIAL DEL PERS. DEL FRIGORIFICO MERCADO NAC.
10840	108407	O.S.PERS. DE LA ACTIVIDAD FRUTICOLA               	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD FRUTICOLA
10850	108506	O.S.PERS.MANIPULEO,EMPAQUE,EXPED.FRUTA Y HORT-CUYO	OBRA SOCIAL DEL PERSONAL DE MANIPULEO, EMPAQUE Y E
10860	108605	O.S. FUTBOLISTAS                                  	OBRA SOCIAL DE FUTBOLISTAS
10870	108704	O.S. TECNICOS DE FUTBOL                           	OBRA SOCIAL DE TECNICOS DE FUTBOL
10880	108803	O.S.PERS. DE LA ACTIVIDAD HOTELERO GASTRONOMICA   	OBRA SOCIAL DEL PERSONAL DEL TURISMO, HOTELERO Y G
10890	108902	O.S.PERS. SUPERIOR DE GOOD-YEAR ARGENTINA         	OBRA SOCIAL DEL PERS. SUPERIOR DE GOOD-YEAR ARGENT
10900	109004	O.S.PERS. GRAFICO                                 	OBRA SOCIAL DEL PERSONAL GRAFICO
10910	109103	O.S. DEL PERS. GRAFICO DE CORRIENTES.             	OBRA SOCIAL DEL PERS. GRAFICO DE CORRIENTES
10920	109202	O.S. GUINCHEROS                                   	OBRA SOCIAL DE GUINCHEROS Y MAQUINISTAS DE GRUAS M
10930	109301	O.S.PERS.CONSIGNAT.MERCADO NAC.DE HACIENDA LINIERS	OBRA SOCIAL DEL PERSONAL DE CONSIGNATARIOS DEL MER
10940	109400	O.S.PERS. IND. DEL HIELO Y MERCADOS PARTICULARES  	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL HIELO
10950	109509	O.S.PERS. HIPODROMOS DE BUENOS AIRES Y SAN ISIDRO 	OBRA SOCIAL DEL PERSONAL DE LOS HIPODROMOS DE BUEN
10960	109608	O.S.PERS.MENS.JOCKEY CLUB BS.AS.,PALERMO,S.ISIDRO 	OBRA SOCIAL DEL PERSONAL MENSUALIZADO DEL JOCKEY C
10970	109707	O.S.PERS. DE IMPRENTA                             	OBRA SOCIAL DEL PERSONAL DE IMPRENTA, DIARIOS Y AF
10980	109806	O.S. DEL PERS. DEL INGENIO NU#ORCO.               	OBRA SOCIAL DEL PERS. DEL INGENIO MUÑORCO
10990	109905	O.S.PERS. ING. SAN PABLO                          	OBRA SOCIAL DEL PERS. DEL INGENIO SAN PABLO
11000	110008	O.S.PERS. DE JABONEROS                            	OBRA SOCIAL DEL PERSONAL DE JABONEROS
11010	110107	O.S.JARDINEROS,PARQUISTAS,VIVERISTAS,FLORICULTORES	OBRA SOCIAL DE JARDINEROS, PARQUISTAS, VIVERISTAS 
11020	110206	O.S.PERS. DEL JOCKEY CLUB DE ROSARIO              	OBRA SOCIAL DEL PERSONAL DEL JOCKEY CLUB DE ROSARI
11030	110305	O.S.PERS. LADRILLERO                              	OBRA SOCIAL DEL PERSONAL LADRILLERO
11040	110404	O.S.PERS. IND. LADRILLERA A MAQUINA               	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LADRILLER
11050	110503	O.S.PERS. IND. LECHERA                            	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LECHERA
11060	110602	O.S. LOCUTORES                                    	OBRA SOCIAL DE LOCUTORES
11070	110701	O.S. LA FED. ARGENTINA DE TRAB. DE LUZ Y FUERZA   	OBRA SOCIAL DE LA FEDERACION ARGENTINA DE TRABAJAD
11080	110800	O.S. LOS TRAB. DE LAS EMPRESAS DE ELECTRICIDAD    	OBRA SOCIAL DE LOS TRABAJADORES DE LAS EMPRESAS DE
11090	110909	O.S.PERS. DE LUZ Y FUERZA DE CORDOBA              	OBRA SOCIAL DEL PERSONAL DE LUZ Y FUERZA DE CORDOB
11100	111001	O.S.PERS. IND. MADERERA                           	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MADERERA
11110	111100	O.S. DEL PERS. DE LA ACTIVIDAD MADERERA DE CORDOBA	OBRA SOCIAL DEL PERS. DE LA ACT. MADERERA DE CORDO
11120	111209	O.S.PERS. DE MAESTRANZA                           	OBRA SOCIAL DEL PERSONAL DE MAESTRANZA
11130	111308	O.S. MAQUINISTAS DE TEATRO Y TELEVISION           	OBRA SOCIAL DE MAQUINISTAS DE TEATRO Y TELEVISION
11140	111407	O.S. CAPIT. ULTRAMAR Y OFIC.DE LA MARINA MERCANTE 	OBRA SOCIAL DE CAPITANES DE ULTRAMAR Y OFICIALES D
11150	111506	O.S. CAPIT.BAQUEANOS FLUVIALES DE MARINA MERCANTE 	OBRA SOCIAL DE CAPITANES BAQUEANOS FLUVIALES DE LA
11160	111605	O.S. EMPL. DE LA MARINA MERCANTE                  	OBRA SOCIAL DE EMPLEADOS DE LA MARINA MERCANTE
11170	111704	O.S. ENCARGADOS APUNTADORES MARITIMOS             	OBRA SOCIAL DE ENCARGADOS APUNTADORES MARITIMOS
11180	111803	O.S.PERS. MARITIMO                                	OBRA SOCIAL DEL PERSONAL MARITIMO
11190	111902	O.S. SIND. MECANICOS Y AFINES TRANSP.AUTOMOTOR    	OBRA SOCIAL DEL SINDICATO DE MECANICOS Y AFINES DE
11200	112004	O.S.PERS. SUPERIOR MERCEDES BENZ ARGENTINA        	OBRA SOCIAL DEL PERSONAL SUPERIOR MERCEDES BENZ AR
11210	112103	O.S.PERS. IND. METALURGICA                        	OBRA SOCIAL DE LA UNION OBRERA METALURGICA DE LA R
11220	112202	O.S. SUPERV. IND. METAL MECANICA DE REP.ARGENTINA 	OBRA SOCIAL DE LOS  SUPERVISORES DE LA INDUSTRIA M
11230	112301	O.S. O.S. DE MICROS Y OMNIBUS DE MENDOZA          	OBRA SOCIAL DEL PERSONAL DE  MICROS Y OMNIBUS DE M
11240	112400	O.S. LA ACTIVIDAD MINERA                          	OBRA SOCIAL DE LA ACTIVIDAD MINERA
11250	112509	O.S. MODELOS ARGENTINOS                           	OBRA SOCIAL MODELOS ARGENTINOS
11260	112608	O.S.PERS. IND. MOLINERA                           	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MOLINERA
11270	112707	O.S.PERS. MOSAISTA                                	OBRA SOCIAL DEL PERSONAL MOSAISTA
11280	112806	O.S. MUSICOS                                      	OBRA SOCIAL DE MUSICOS
11290	112905	O.S. MUSICOS DE CUYO                              	OBRA SOCIAL MUSICOS DE CUYO
11300	113007	O.S. DE MUSICOS DE MAR DEL PLATA.                 	OBRA SOCIAL DE MUSICOS DE MAR DEL PLATA
11310	113106	O.S. DEL PERS. ESTATAL NAVAL.                     	OBRA SOCIAL ESTATAL NAVAL
11320	113205	O.S. JEFES Y OFIC.NAVALES DE RADIOCOMUNICACIONES  	OBRA SOCIAL DE JEFES Y OFICIALES NAVALES DE RADIOC
11330	113304	O.S. JEFES Y OFICIALES MAQUINISTAS NAVALES        	OBRA SOCIAL DE JEFES Y OFICIALES MAQUINISTAS NAVAL
11340	113403	O.S.PERS. NAVAL                                   	OBRA SOCIAL DEL PERSONAL NAVAL
11350	113502	O.S. DEL PERS. DEL NEGRO DE HUMO.                 	OBRA SOCIAL DEL PERS. DEL NEGRO DE HUMO
11360	113601	O.S.PERS. IND. DEL NEUMATICO                      	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL NEUMA
11370	113700	O.S.PERS. IND. NAVAL                              	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA NAVAL
11380	113809	O.S. COMISARIOS NAVALES                           	OBRA SOCIAL DE COMISARIOS NAVALES
11390	113908	O.S.PERS. DE PANADERIAS                           	OBRA SOCIAL DEL PERSONAL DE PANADERIAS
11400	114000	O.S. PANADEROS, PASTELEROS Y FACTUREROS DE E.RIOS 	OBRA SOCIAL DE PANADEROS, PASTELEROS Y FACTUREROS 
11410	114109	O.S.PERS. DEL PAPEL, CARTON Y QUIMICOS            	OBRA SOCIAL DEL PERSONAL DEL PAPEL, CARTON Y QUIMI
