A00;COLERA
A49;INFECCION BACTERIANA DE SITIO NO ESPECIFICADO
A50;SIFILIS CONGENITA
A51;SIFILIS PRECOZ
A52;SIFILIS TARDIA
A53;OTRAS SIFILIS Y LAS NO ESPECIFICADAS
A54;INFECCION GONOCOCICA
A55;LINFOGRANULOMA (VENEREO) POR CLAMIDIAS
A56;OTRAS ENFERMEDADES DE TRANSMISION SEXUAL DEBIDAS A CLAMIDIAS
A57;CHANCRO BLANDO
A58;GRANULOMA INGUINAL
A59;TRICOMONIASIS
A60;INFECCION ANOGENITAL DEBIDA A VIRUS DEL HERPES (HERPES SIMPLE)
A63;OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL, NO CLASIFICADAS EN OTRA PARTE
A64;ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA
A65;SIFILIS NO VENEREA
A66;FRAMBESIA
A67;PINTA (CARATE)
A68;FIEBRES RECURRENTES
A69;OTRAS INFECCIONES CAUSADAS POR ESPIROQUETAS
A70;INFECCION DEBIDA A CHLAMYDIA PSITTACI
A71;TRACOMA
A74;OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS
A75;TIFUS
A77;FIEBRE MACULOSA (RICKETTSIOSIS TRANSMITIDA POR GARRAPATAS)
A78;FIEBRE Q
A79;OTRAS RICKETTSIOSIS
A80;POLIOMIELITIS AGUDA
A81;INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS LENTO
A82;RABIA
A83;ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS
A84;ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS
A85;OTRAS ENCEFALITIS VIRALES, NO CLASIFICADAS EN OTRA PARTE
A86;ENCEFALITIS VIRAL, NO ESPECIFICADA
A87;MENINGITIS VIRAL
A88;OTRAS INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL, NO CLASIFICADAS EN OTRA PARTE
A89;INFECCION VIRAL DEL SISTEAM NERVIOSO CENTRAL, NO ESPECIFICADA
A90;FIEBRE DEL DENGUE (DENGUE CLASICO)
A91;FIEBRE DEL DENGUE HEMORRAGICO
A92;OTRAS FIEBRES VIRALES TRANSMITIDAS POR MOSQUITOS
A93;OTRAS FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS, NO CLASIFICADAS EN OTRA PARTE
A94;FIEBRE VIRAL TRANSMITIDA POR ARTROPODOS, NO ESPECIFICADA
A95;FIEBRE AMARILLA
A96;FIEBRE HEMORRAGICA POR ARENAVIRUS
A98;OTRAS FIEBRES VIRALES HEMORRAGICAS, NO CLASIFICADAS EN OTRA PARTE
A99;FIEBRE VIRAL HEMORRAGICA, NO ESPECIFICADA
B00;INFECCIONES HERPETICAS (HERPES SIMPLE)
B01;VARICELA
B02;HERPES ZOSTER
B03;VIRUELA
B04;VIRUELA DE LOS MONOS
B05;SARAMPION
B06;RUBEOLA (SARAMPION ALEMAN)
B07;VERRUGAS VIRICAS
B08;OTRAS INFECCIONES VIRICAS CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS, NO CLASIFICADAS EN OTRA PARTE
B09;INFECCION VIRAL NO ESPECIFICADA, CARACTERIZADA POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS
B15;HEPATITIS AGUDA TIPO A
B16;HEPATITIS AGUDA TIPO B
B17;OTRAS HEPATITIS VIRALES AGUDAS
B18;HEPATITIS VIRAL CRONICA
B19;HEPATITIS VIRAL, SIN OTRA ESPECIFICACION
B20;ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH), RESULTANTE EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS
B21;ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH), RESULTANTE EN TUMORES MALIGNOS
B22;ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH), RESULTANTE EN OTRAS ENFERMEDADES ESPECIFICADAS
B23;ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH), RESULTANTE EN OTRAS AFECCIONES
B24;ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH), SIN OTRA ESPECIFICACION
B25;ENFERMEDAD DEBIDA A VIRUS CITOMEGALICO
B26;PAROTIDITIS INFECCIOSA
B27;MONONUCLEOSIS INFECCIOSA
B30;CONJUNTIVITIS VIRAL
B33;OTRAS ENFERMEDADES VIRALES, NO CLASIFICADAS EN OTRA PARTE
B34;INFECCION VIRAL DE SITIO NO ESPECIFICADO
B35;DERMATOFITOSIS
B36;OTRAS MICOSIS SUPERFICIALES
B37;CANDIDIASIS
B38;COCCIDIOIDOMICOSIS
B39;HISTOPLASMOSIS
B40;BLASTOMICOSIS
B41;PARACOCCIDIOIDOMICOSIS
B42;ESPOROTRICOSIS
B43;CROMOMICOSIS Y ABSCESO FEOMICOTICO
B44;ASPERGILOSIS
B45;CRIPTOCOCOSIS
B46;CIGOMICOSIS
B47;MICETOMA
B48;OTRAS MICOSIS, NO CLASIFICADAS EN OTRA PARTE
B49;MICOSIS, NO ESPECIFICADA
B50;PALUDISMO (MALARIA) DEBIDO A PLASMODIUM FALCIPARUM
B51;PALUDISMO (MALARIA) DEBIDO A PLASMODIUM VIVAX
B52;PALUDISMO (MALARIA) DEBIDO A PLASMODIUM MALARIAE
B53;OTRO PALUDISMO (MALARIA) CONFIRMADO PARASITOLOGICAMENTE
B54;PALUDISMO (MALARIA) NO ESPECIFICADO
B55;LEISHMANIASIS
B56;TRIPANOSOMIASIS AFRICANA
B57;ENFERMEDAD DE CHAGAS
B58;TOXOPLASMOSIS
B59;NEUMOCISTOSIS
B60;OTRAS ENFERMEDADES DEBIDAS A PROTOZOARIOS, NO CLASIFICADAS EN OTRA PARTE
B64;ENFERMEDAD DEBIDA A PROTOZOARIOS, NO ESPECIFICADA
B65;ESQUISTOSOMIASIS (BILHARZIASIS)
B66;OTRAS INFECCIONES DEBIDAS A TREMATODOS
B67;EQUINOCOCOSIS
B68;TENIASIS
B69;CISTICERCOSIS
B70;DIFILOBOTRIASIS Y ESPARGANOSIS
B71;OTRAS INFECCIONES DEBIDAS A CESTODOS
B72;DRACONTIASIS
B73;ONCOCERCOSIS
B74;FILARIASIS
B75;TRIQUINOSIS
B76;ANQUILOSTOMIASIS Y NECATORIASIS
B77;ASCARIASIS
B78;ESTRONGILOIDIASIS
B79;TRICURIASIS
B80;ENTEROBIASIS
B81;OTRAS HELMINTIASIS INTESTINALES, NO CLASIFICADAS EN OTRA PARTE
B82;PARASITOSIS INTESTINALES, SIN OTRA ESPECIFICACION
B83;OTRAS HELMINTIASIS
B85;PEDICULOSIS Y PHTIRIASIS
B86;ESCABIOSIS
B87;MIASIS
B88;OTRAS INFESTACIONES
B89;ENFERMEDAD PARASITARIA, NO ESPECIFICADA
B90;SECUELAS DE TUBERCULOSIS
B91;SECUELAS DE POLIOMIELITIS
B92;SECUELAS DE LEPRA
B94;SECUELAS DE OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIA Y DE LAS NOESPECIFICADAS
B95;ESTREPTOCOCOS Y ESTAFILOCOCOS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPITULOS
B96;OTROS AGENTES BACTERIANOS COMO CAUSA DE ENFERMEDADES CLASIFICADAS ENN OTROS CAPITULOS
B97;AGENTES VIRALES COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPITULOS
B99;OTRAS ENFERMEDADES INFECCIOSAS Y LAS NO ESPECIFICADAS
C00;TUMOR MALIGNO DEL LABIO
C01;TUMOR MALIGNO DE LA BASE DE LA LENGUA
C02;TUMOR MALIGNO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA LENGUA
C03;TUMOR MALIGNO DE LA ENCIA
C04;TUMOR MALIGNO DEL PISO DE LA BOCA
C05;TUMOR MALIGNO DEL PALADAR
C06;TUMOR MALIGNO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA
C07;TUMOR MALIGNO DE LA GLANDULA PAROTIDA
C08;TUMOR MALIGNO DE OTRAS GLANDULAS SALIVALES MAYORES Y DE LAS NO ESPECIFICADAS
C09;TUMOR MALIGNO DE LA AMIGDALA
C10;TUMOR MALIGNO DE LA OROFARINGE
C11;TUMOR MALIGNO DE LA NASOFARINGE
C12;TUMOR MALIGNO DEL SENO PIRIFORME
C13;TUMOR MALIGNO DE LA HIPOFARINGE
C14;TUMOR MALIGNO DE OTROS SITIOS Y DE LOS MAL DEFINIDOS DEL LABIO, DE LA CAVIDAD BUCAL Y DE LA FARINGE
C15;TUMOR MALIGNO DEL ESOFAGO
C16;TUMOR MALIGNO DEL ESTOMAGO
C17;TUMOR MALIGNO DEL INTESTINO DELGADO
C18;TUMOR MALIGNO DEL COLON
C19;TUMOR MALIGNO DE LA UNION RECTOSIGMOIDEA
C20;TUMOR MALIGNO DEL RECTO
C21;TUMOR MALIGNO DEL ANO Y DEL CONDUCTO ANAL
C22;TUMOR MALIGNO DEL HIGADO Y DE LAS VIAS BILIARES INTRAHEPATICAS
C23;TUMOR MALIGNO DE LA VESICULA BILIAR
C24;TUMOR MALIGNO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LAS VIAS BILIARES
C25;TUMOR MALIGNO DEL PANCREAS
C26;TUMOR MALIGNO DE OTROS SITIOS Y DE LOS MAL DEFINIDOS DE LOS ORGANOS DIGESTIVOS (Y ABDOMINALES)
C30;TUMOR MALIGNO DE LAS FOSAS NASALES Y DE OIDO MEDIO
C31;TUMOR MALIGNO DE LOS SENOS PARANASALES
C32;TUMOR MALIGNO DE LA LARINGE
C33;TUMOR MALIGNO DE LA TRAQUEA
C34;TUMOR MALIGNO DE LOS BRONQUIOS Y DEL PULMON
C37;TUMOR MALIGNO DEL TIMO
C38;TUMOR MALIGNO DEL CORAZON, DEL MEDIASTINO Y DE LA PLEURA
C39;TUMOR MALIGNO DE OTROS SITIOS Y DE LOS MAL DEFINIDOS DEL SISTEMA RESPIRATORIO Y DE LOS ORGANOS INTRATORACICOS
C40;TUMOR MALIGNO DE LOS HUESOS Y DE LOS CARTILAGOS ARTICULARES DE LOS MIEMBROS
C41;TUMOR MALIGNO DE LOS HUESOS Y DE LOS CARTILAGOS ARTICULARES, DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS
C43;MELANOMA MALIGNO DE LA PIEL
C44;OTROS TUMORES MALIGNOS DE LA PIEL
C45;MESOTELIOMA
C46;SARCOMA DE KAPOSI
C47;TUMOR MALIGNO DE LOS NERVIOS PERIFERICOS Y DEL SISTEMA NERVIOSO AUTONOMO
C48;TUMOR MALIGNO DEL PERITONEO Y DEL RETROPERITONEO
C49;TUMOR MALIGNO DE OTROS TEJIDOS CONJUNTIVOS Y DE TEJIDOS BLANDOS
C50;TUMOR MALIGNO DE LA MAMA
C51;TUMOR MALIGNO DE LA VULVA
C52;TUMOR MALIGNO DE LA VAGINA
C53;TUMOR MALIGNO DEL CUELLO DEL UTERO
C54;TUMOR MALIGNO DEL CUERPO DEL UTERO
C55;TUMOR MALIGNO DEL UTERO, PARTE NO ESPECIFICADA
C56;TUMOR MALIGNO DEL OVARIO
C57;TUMOR MALIGNO DE OTROS ORGANOS GENITALES FEMENINOS Y DE LOS NO ESPECIFICADOS
C58;TUMOR MALIGNO DE LA PLACENTA
C60;TUMOR MALIGNO DEL PENE
C61;TUMOR MALIGNO DE LA PROSTATA
C62;TUMOR MALIGNO DEL TESTICULO
C63;TUMOR MALIGNO DE OTROS ORGANOS GENITALES MASCULINOS Y DE LOS NO ESPECIFICADOS
C64;TUMOR MALIGNO DEL RI¾ON, EXCEPTO DE LA PELVIS RENAL
C65;TUMOR MALIGNO DE LA PELVIS RENAL
C66;TUMOR MALIGNO DEL URETER
C67;TUMOR MALIGNO DE LA VEJIGA URINARIA
C68;TUMOR MALIGNO DE OTROS ORGANOS URINARIOS Y DE LOS NO ESPECIFICADOS
C69;TUMOR MALIGNO DEL OJO Y DE SUS ANEXOS
C70;TUMOR MALIGNO DE LAS MENINGES
C71;TUMOR MALIGNO DEL ENCEFALO
C72;TUMOR MALIGNO DE LA MEDULA ESPINAL, DE LOS NERVIOS CRANEALES Y DE OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL
C73;TUMOR MALIGNO DE LA GLANDULA TIROIDES
C74;TUMOR MALIGNO DE LA GLANDULA SUPRARRENAL
C75;TUMOR MALIGNO DE OTRAS GLANDULAS ENDOCRINAS Y DE ESTRUCTURAS AFINES
C76;TUMOR MALIGNO DE OTROS SITIOS Y DE SITIOS MAL DEFINIDOS
C77;TUMOR MALIGNO SECUNDARIO Y NO ESPECIFICADO DE LOS GANGLIOS LINFATICOS
C78;TUMOR MALIGNO SECUNDARIO DE LOS ORGANOS RESPIRATORIOS Y DIGESTIVOS
C79;TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS
C80;TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS
C81;ENFERMEDAD DE HODGKIN
C82;LINFOMA NO HODGKIN FOLICULAR (NODULAR)
C83;LINFOMA NO HODGKIN DIFUSO
C84;LINFOMA DE CELULAS T, PERIFERICO Y CUTANEO
C85;LINFOMA NO HODGKIN DE OTRO TIPO Y DEL NO ESPECIFICADO
C88;ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS
C90;MIELOMA MULTIPLE Y TUMORES MALIGNOS DE CELULAS PLASMATICAS
C91;LEUCEMIA LINFOIDE
C92;LEUCEMIA MIELOIDE
C93;LEUCEMIA MONOCITICA
C94;OTRAS LEUCEMIAS DE TIPO CELULAR ESPECIFICADO
C95;LEUCEMIA DE CELULAS DE TIPO NO ESPECIFICADO
C96;OTROS TUMORES MALIGNOS Y LOS NO ESPECIFICADOS DEL TEJIDO LINFATICO, DE LOS ORGANOS HEMATOPOYETICOS Y DE TEJIDOS AFINES
C97;TUMOR MALIGNO (PRIMARIO) DE SITIOS MULTIPLES INDEPENDIENTES
D00;CARCINOMA IN SITU DE LA CAVIDAD BUCAL, DEL ESOFAGO Y DEL ESTOMAGO
D01;CARCINOMA IN SITU DE OTROS ORGANOS DIGESTIVOS Y DE LOS NO ESPECIFICADOS
D02;CARCINOMA IN SITU DEL SISTEMA RESPIRATORIO Y DEL OIDO MEDIO
D03;MELANOMA IN SITU
D04;CARCINOMA IN SITU DE LA PIEL
D05;CARCINOMA IN SITU DE LA MAMA
D06;CARCINOMA IN SITU DEL CUELLO DEL UTERO
D07;CARCINOMA IN SITU DE OTROS ORGANOS GENITALES Y DE LOS NO ESPECIFICADOS
D09;CARCINOMA IN SITU DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS
D10;TUMOR BENIGNO DE LA BOCA Y DE LA FARINGE
D11;TUMOR BENIGNO DE LAS GLANDULAS SALIVALES MAYORES
D12;TUMOR BENIGNO DEL COLON, DEL RECTO, DEL CONDUCTO ANAL Y DEL ANO
D13;TUMOR BENIGNO DE OTRAS PARTES Y DE LAS MAL DEFINIDAS DEL SISTEMA DIGESTIVO
D14;TUMOR BENIGNO DEL OIDO MEDIO Y DEL SISTEMA RESPIRATORIO
D15;TUMOR BENIGNO DE OTROS ORGANOS INTRATORACICOS Y DE LOS NO ESPECIFICADOS
D16;TUMOR BENIGNO DEL HUESO Y DEL CARTILAGO ARTICULAR
D17;TUMORES BENIGNOS LIPOMATOSOS
D18;HEMANGIOMA Y LINFANGIOMA DE CUALQUIER SITIO
D19;TUMORES BENIGNOS DEL TEJIDO MESOTELIAL
D20;TUMOR BENIGNO DEL TEJIDO BLANDO DEL PERITONEO Y DEL RETROPERITONEO
D21;OTROS TUMORES BENIGNOS DEL TEJIDO CONJUNTIVO Y DE LOS TEJIDOS BLANDOS
D22;NEVO MELANOCITICO
D23;OTROS TUMORES BENIGNOS DE LA PIEL
D24;TUMOR BENIGNO DE LA MAMA
D25;LEIOMIOMA DEL UTERO
D26;OTROS TUMORES BENIGNOS DEL UTERO
D27;TUMOR BENIGNO DEL OVARIO
D28;TUMOR BENIGNO DE OTROS ORGANOS GENITALES FEMENINOS Y DE LOS NO ESPECIFICADOS
D29;TUMOR BENIGNO DE LOS ORGANOS GENITALES MASCULINOS
D30;TUMOR BENIGNO DE LOS ORGANOS URINARIOS
D31;TUMOR BENIGNO DEL OJO Y DE SUS ANEXOS
D32;TUMORES BENIGNOS DE LAS MENINGES
D33;TUMOR BENIGNO DEL ENCEFALO Y DE OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL
D34;TUMOR BENIGNO DE LA GLANDULA TIROIDES
D35;TUMOR BENIGNO DE OTRAS GLANDULAS ENDOCRINAS Y DE LAS NO ESPECIFICADAS
D36;TUMOR BENIGNO DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS
D37;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA CAVIDAD BUCAL Y DE LOS ORGANOS DIGESTIVOS
D38;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL OIDO MEDIO Y DE LOS ORGANOS RESPIRATORIOS E INTRATORACICOS
D39;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS ORGANOS GENITAES FEMENINOS
D40;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS ORGANOS GENITALES MASCULINOS
D41;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS ORGANOS URINARIOS
D42;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LAS MENINGES
D43;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ENCEFALO Y DEL SISTEMA NERVIOSO CENTRAL
D44;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LAS GLANDULAS ENDOCRINAS
D45;POLICITEMIA VERA
D46;SINDROMES MIELODISPLASICOS
D47;OTROS TUMORES DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL TEJIDO LINFATICO, DE LOS ORGANOS HEMATOPOYETICOS Y DE TEJIDOS AFINES
D48;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS
D50;ANEMIAS POR DEFICIENCIA DE HIERRO
D51;ANEMIA POR DEFICIENCIA DE VITAMINA B12
D52;ANEMIA POR DEFICIENCIA DE FOLATOS
D53;OTRAS ANEMIAS NUTRICIONALES
D55;ANEMIA DEBIDA A TRASTORNOS ENZIMATICOS
D56;TALASEMIA
D57;TRASTORNOS FALCIFORMES
D58;OTRAS ANEMIAS HEMOLITICAS HEREDITARIAS
D59;ANEMIA HEMOLITICA ADQUIRIDA
D60;APLASIA ADQUIRIDA, EXCLUSIVA DE LA SERIE ROJA (ERITROBLASTOPENIA)
D61;OTRAS ANEMIAS APLASTICAS
D62;ANEMIA POSTHEMORRAGICA AGUDA
D64;OTRAS ANEMIAS
D65;COAGULACION INTRAVASCULAR DISEMINADA (SINDROME DE DESFIBRINACION)
D66;DEFICIENCIA HEREDITARIA DEL FACTOR VIII
D67;DEFICIENCIA HEREDITARIA DEL FACTOR IX
D68;OTROS DEFECTOS DE LA COLAGULACION
D69;PURPURA Y OTRAS AFECCIONES HEMORRAGICAS
D70;AGRANULOCITOSIS
D71;TRASTORNOS FUNCIONALES DE LOS POLIMORFONUCLEARES NEUTROFILOS
D72;OTROS TRASTORNOS DE LOS LEUCOCITOS
D73;ENFERMEDADES DEL BAZO
D74;METAHEMOGLOBINEMIA
D75;OTRAS ENFERMEDADES DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS
D76;CIERTAS ENFERMEDADES QUE AFECTAN AL TEJIDO LINFORRETICULAR Y AL SISTEMA RETICULOENDOTELIAL
D80;INMUNODEFICIENCIA CON PREDOMINIO DE DEFECTOS DE LOS ANTICUERPOS
D81;INMUNODEFICIENCIAS COMBINADAS
D82;INMUNODEFICIENCIA ASOCIADA CON OTROS DEFECTOS MAYORES
D83;INMUNODEFICIENCIA VARIABLE COMUN
D84;OTRAS INMUNODEFICIENCIAS
D86;SARCOIDOSIS
D89;OTROS TRASTORNOS QUE AFECTAN EL MECANISMO DE LA INMUNIDAD, NO CLASIFICADOS EN OTRA PARTE
E00;SINDROME CONGENITO DE DEFICIENCIA DE YODO
E01;TRASTORNOS TIROIDEOS VINCULADOS A DEFICIENCIA DE YODO Y AFECCIONES RELACIONADAS
E02;HIPOTIROIDISMO SUBCLINICO POR DEFICIENCIA DE YODO
E03;OTRO HIPOTIROIDISMO
E04;OTRO BOCIO NO TOXICO
E05;TIROTOXICOSIS (HIPERTIROIDISMO)
E06;TIROIDITIS
E07;OTROS TRASTORNOS TIROIDEOS
E10;DIABETES MELLITUS INSULINODEPENDIENTE
E11;DIABETES MELLITUS NO INSULINODEPENDIENTE
E12;DIABETES MELLITUS ASOCIADA CON DESNUTRICION
E13;OTRAS DIABETES MELLITUS ESPECIFICADAS
E14;DIABETES MELLITUS, NO ESPECIFICADA
E15;COMA HIPOGLICEMICO NO DIABETICO
E16;OTROS TRASTORNOS DE LA SECRECION INTERNA DEL PANCREAS
E20;HIPOPARATIROIDISMO
E21;HIPERPARATIROIDISMO Y OTROS TRASTORNOS DE LA GLANDULA PARATIROIDES
E22;HIPERFUNCION DE LA GLANDULA HIPOFISIS
E23;HIPOFUNCION Y OTROS TRASTORNOS DE LA GLANDULA HIPOFISIS
E24;SINDROME DE CUSHING
E25;TRASTORNOS ADRENOGENITALES
E26;HIPERALDOSTERONISMO
E27;OTROS TRASTORNOS DE LA GLANDULA SUPRARRENAL
E28;DISFUNCION OVARICA
E29;DISFUNCION TESTICULAR
E30;TRASTORNOS DE LA PUBERTAD, NO CLASIFICADOS EN OTRA PARTE
E31;DISFUNCION POLIGLANDULAR
E32;ENFERMEDADES DEL TIMO
E34;OTROS TRASTORNOS ENDOCRINOS
E40;KWASHIORKOR
E41;MARASMO NUTRICIONAL
E42;KWASHIORKOR MARASMATICO
E43;DESNUTRICION PROTEICOCALORICA SEVERA, NO ESPECIFICADA
E44;DESNUTRICION PROTEICOCALORICA DE GRADO MODERADO Y LEVE
E45;RETARDO DEL DESARROLLO DEBIDO A DESNUTRICION PROTEICOCALORICA
E46;DESNUTRICION PROTEICOCALORICA, NO ESPECIFICADA
E50;DEFICIENCIA DE VITAMINA A
E51;DEFICIENCIA DE TIAMINA
E52;DEFICIENCIA DE NIACINA (PELAGRA)
E53;DEFICIENCIA DE OTRAS VITAMINAS DEL GRUPO B
E54;DEFICIENCIA DE ACIDO ASCORBICO
E55;DEFICIENCIA DE VITAMINA D
E56;OTRAS DEFICIENCIAS DE VITAMINAS
E58;DEFICIENCIA DIETETICA DE CALCIO
E59;DEFICIENCIA DIETETICA DE SELENIO
E60;DEFICIENCIA DIETETICA DE ZINC
E61;DEFICIENCIAS DE OTROS ELEMENTOS NUTRICIONALES
E63;OTRAS DEFICIENCIAS NUTRICIONALES
E64;SECUELAS DE LA DESNUTRICION Y DE OTRAS DEFICIENCIAS NUTRICIONALES
E65;ADIPOSIDAD LOCALIZADA
E66;OBESIDAD
E67;OTROS TIPOS DE HIPERALIMENTACION
E68;SECUELAS DE HIPERALIMENTACION
E70;TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS AROMATICOS
E71;TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS DE CADENA RAMIFICADA Y DE LOS ACIDOS GRASOS
E72;OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS
E73;INTOLERANCIA A LA LACTOSA
E74;OTROS TRASTORNOS DEL METABOLISMO DE LOS CARBOHIDRATOS
E75;TRASTORNOS DEL METABOLISMO DE LOS ESFINGOLIPIDOS Y OTROS TRASTORNOS POR ALMACENAMIENTO DE LIPIDOS
E76;TRASTORNOS DEL METABOLISMO DE LOS GLUCOSAMINOGLICANOS
E77;TRASTORNOS DEL METABOLISMO DE LAS GLUCOPROTEINAS
E78;TRASTORNOS DEL METABOLISMO DE LAS LIPOPROTEINAS Y OTRAS LIPIDEMIAS
E79;TRASTORNOS DEL METABOLISMO DE LAS PURINAS Y DE LAS PIRIMIDINAS
E80;TRASTORNOS DEL METABOLISMO DE LAS PORFIRINAS Y DE LA BILIRRUBINA
E83;TRASTORNOS DEL METABOLISMO DE LOS MINERALES
E84;FIBROSIS QUISTICA
E85;AMILOIDOSIS
E86;DEPLECION DEL VOLUMEN
E87;OTROS TRASTORNOS DE LOS LIQUIDOS, DE LOS ELECTROLITOS Y DEL EQUILIBRIO ACIDO-BASICO
E88;OTROS TRASTORNOS METABOLICOS
E89;TRASTORNOS ENDOCRINOS Y METABOLICOS CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
F01;DEMENCIA VASCULAR
F03;DEMENCIA, NO ESPECIFICADA
F04;SINDROME AMNESICO ORGANICO, NO INDUCIDO POR ALCOHOL NI (O) POR OTRAS SUSTANCIAS PSICOACTIVAS
F05;DELIRIO, NO INDUCIDO POR ALCOHOL NI (O) POR OTRAS SUSTANCIAS PSICOACTIVAS
F06;OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A ENFERMEDAD FISICA
F07;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO DEBIDOS A ENFERMEDAD, A LESION O A DISFUNCION CEREBRAL
F09;TRASTORNO MENTAL ORGANICO O SINTOMATICO, NO ESPECIFICADO
F10;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALCOHOL
F11;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS
